Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

-50.01511970,-1.60084200,-1.94268100,-3.22152400,-3.95098300,-11.61641000
-50.00511970,-1.60084200,-1.88926900,-3.16658500,-3.97845200,-11.39666000
-49.99511970,-4.36607300,-5.26034600,-5.89976800,-7.79361500,28.81211000
-49.98511970,-2.73928700,-2.13191300,-1.02856800,-1.62373300,29.36149000
-49.97511970,-1.54590400,-0.40593330,1.08198000,0.91869120,29.47137000
-49.96511970,-0.84086190,0.37693810,1.56879500,1.75802700,29.03186000
-49.95511970,-0.37999020,0.86222680,1.91979000,2.32572300,28.81211000
-49.94511970,0.00000000,1.13234000,2.24484200,2.75912600,29.36149000
-49.93511970,0.27011350,1.29410300,2.48901200,3.05670900,29.25162000
-49.92511970,0.46087170,1.42839700,2.65077500,3.27341000,28.70223000
-49.91511970,0.62263460,1.48333500,2.75912600,3.38176000,28.92199000
-49.90511970,0.75845440,1.53674800,2.86747600,3.51605400,28.92199000
-49.89511970,0.81186660,1.56421700,2.94835800,3.57099200,28.48858000
-49.88511970,0.89427420,1.61762900,2.97582700,3.62440500,28.59846000
-49.87511970,0.94768650,1.61762900,3.02923900,3.62440500,28.48858000
-49.86511970,1.00262500,1.64509800,3.05670900,3.67934300,29.47137000
-49.85511970,1.03009400,1.64509800,3.08417800,3.73275500,28.48858000
-49.84511970,1.05603700,1.67104100,3.11164700,3.76022500,29.36149000
-49.83511970,1.08350600,1.67104100,3.13759000,3.78769400,28.70223000
-49.82511970,1.11097600,1.69851100,3.11164700,3.76022500,28.81211000
-49.81511970,1.11097600,1.69851100,3.13759000,3.78769400,28.59846000
-49.80511970,1.13844500,1.69851100,3.16505900,3.81363700,28.70223000
-49.79511970,1.16438800,1.72598000,3.16505900,3.78769400,28.59846000
-49.78511970,1.16438800,1.72598000,3.19252800,3.84110600,28.70223000
-49.77511970,1.19185700,1.72598000,3.16505900,3.81363700,29.14174000
-49.76511970,1.16438800,1.72598000,3.16505900,3.84110600,29.36149000
-49.75511970,1.19185700,1.75192300,3.16505900,3.86857500,28.92199000
-49.74511970,1.21932600,1.75192300,3.19252800,3.86857500,29.25162000
