Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(V)

0.00000000,0.05676962,-3.68209000,-1.29776600,-3.21877700,0.87840310
0.99998747,0.06775729,-3.68209000,-1.28677800,-3.21877700,0.88939080
1.99997495,0.03479429,-3.68209000,-1.29776600,-3.21877700,0.88939080
2.99996242,0.05676962,-3.68209000,-1.29776600,-3.20778900,0.87840310
3.99994990,0.06775729,-3.69307800,-1.29776600,-3.20778900,0.90037850
4.99993737,0.05676962,-3.69307800,-1.30875300,-3.22976400,0.87840310
5.99992485,0.04578196,-3.69307800,-1.31974100,-3.20778900,0.88939080
6.99991232,0.04578196,-3.69307800,-1.29776600,-3.21877700,0.88939080
7.99989980,0.05676962,-3.67110200,-1.29776600,-3.21877700,0.88939080
8.99988727,0.05676962,-3.69307800,-1.28677800,-3.20778900,0.87840310
9.99987475,0.04578196,-3.69307800,-1.28677800,-3.22976400,0.88939080
10.99986222,0.05676962,-3.68209000,-1.30875300,-3.21877700,0.88939080
11.99984970,0.05676962,-3.70406500,-1.29776600,-3.21877700,0.88939080
12.99983717,0.05676962,-3.69307800,-1.29776600,-3.22976400,0.88939080
13.99982464,0.05676962,-3.68209000,-1.29776600,-3.22976400,0.88939080
14.99981212,0.05676962,-3.69307800,-1.29776600,-3.21877700,0.88939080
15.99979959,0.05676962,-3.70406500,-1.29776600,-3.21877700,0.88939080
16.99978707,0.04578196,-3.69307800,-1.28677800,-3.22976400,0.88939080
17.99977454,0.05676962,-3.68209000,-1.29776600,-3.22976400,0.88939080
18.99976202,0.04578196,-3.69307800,-1.28677800,-3.22976400,0.87840310
19.99974949,0.03479429,-3.68209000,-1.29776600,-3.22976400,0.88939080
20.99973697,0.06775729,-3.68209000,-1.30875300,-3.22976400,0.88939080
21.99972444,0.04578196,-3.70406500,-1.29776600,-3.22976400,0.88939080
22.99971192,0.06775729,-3.69307800,-1.30875300,-3.21877700,0.88939080
23.99969939,0.05676962,-3.69307800,-1.29776600,-3.21877700,0.87840310
24.99968687,0.05676962,-3.69307800,-1.28677800,-3.22976400,0.87840310
25.99967434,0.04578196,-3.68209000,-1.28677800,-3.21877700,0.88939080
26.99966182,0.03479429,-3.69307800,-1.31974100,-3.22976400,0.88939080
27.99964929,0.06775729,-3.69307800,-1.30875300,-3.22976400,0.88939080
28.99963676,0.05676962,-3.69307800,-1.29776600,-3.21877700,0.88939080
29.99962424,0.06775729,-3.69307800,-1.29776600,-3.21877700,0.88939080
30.99961171,0.04578196,-3.69307800,-1.29776600,-3.22976400,0.88939080
31.99959919,0.04578196,-3.69307800,-1.30875300,-3.21877700,0.90037850
32.99958666,0.05676962,-3.69307800,-1.30875300,-3.22976400,0.88939080
33.99957414,0.05676962,-3.69307800,-1.29776600,-3.21877700,0.88939080
34.99956161,0.03479429,-3.68209000,-1.30875300,-3.21877700,0.87840310
35.99954909,0.04578196,-3.69307800,-1.31974100,-3.22976400,0.87840310
36.99953656,0.05676962,-3.68209000,-1.29776600,-3.22976400,0.88939080
37.99952404,0.04578196,-3.69307800,-1.29776600,-3.22976400,0.88939080
38.99951151,0.04578196,-3.69307800,-1.29776600,-3.21877700,0.88939080
39.99949899,0.04578196,-3.69307800,-1.30875300,-3.21877700,0.88939080
40.99948646,0.04578196,-3.70406500,-1.30875300,-3.24075200,0.88939080
41.99947393,0.05676962,-3.68209000,-1.29776600,-3.21877700,0.88939080
42.99946141,0.04578196,-3.70406500,-1.30875300,-3.21877700,0.87840310
43.99944888,0.04578196,-3.69307800,-1.30875300,-3.20778900,0.88939080
44.99943636,0.04578196,-3.69307800,-1.30875300,-3.22976400,0.88939080
45.99942383,0.04578196,-3.69307800,-1.29776600,-3.21877700,0.88939080
46.99941131,0.05676962,-3.69307800,-1.29776600,-3.21877700,0.90037850
47.99939878,0.03479429,-3.70406500,-1.30875300,-3.24075200,0.88939080
48.99938626,0.04578196,-3.68209000,-1.29776600,-3.20778900,0.88939080
49.99937373,0.04578196,-3.69307800,-1.29776600,-3.24075200,0.87840310
50.99936121,0.04578196,-3.69307800,-1.29776600,-3.22976400,0.88939080
